name,source,description,soil type,k_s,theta_r,theta_s,alpha,n,l
HYDRUS_Sand,HYDRUS,,Sand,712.8,0.045,0.43,0.145,2.68,0.5
HYDRUS_Loamy Sand,HYDRUS,,Loamy Sand,350.2,0.057,0.41,0.125,2.28,0.5
HYDRUS_Sandy Loam,HYDRUS,,Sandy Loam,106.1,0.065,0.41,0.075,1.89,0.5
HYDRUS_Loam,HYDRUS,,Loam,24.96,0.078,0.43,0.036,1.56,0.5
HYDRUS_Silt,HYDRUS,,Silt,6,0.034,0.46,0.016,1.37,0.5
HYDRUS_Silt Loam,HYDRUS,,Silt Loam,10.8,0.067,0.45,0.02,1.41,0.5
HYDRUS_Sandy Clay Loam,HYDRUS,,Sandy Clay Loam,31.44,0.1,0.39,0.059,1.48,0.5
HYDRUS_Clay Loam,HYDRUS,,Clay Loam,6.24,0.095,0.41,0.019,1.31,0.5
HYDRUS_Silty Clay Loam,HYDRUS,,Silty Clay Loam,1.68,0.089,0.43,0.01,1.23,0.5
HYDRUS_Sandy Clay,HYDRUS,,Sandy Clay,2.88,0.1,0.38,0.027,1.23,0.5
HYDRUS_Silty Clay,HYDRUS,,Silty Clay,0.48,0.07,0.36,0.005,1.09,0.5
HYDRUS_Clay,HYDRUS,,Clay,4.8,0.068,0.38,0.008,1.09,0.5
B01,Staring,leemarm zeer fijn tot matig fijn zand,Sand,31.23,0.02,0.427,0.0217,1735,0.981
B02,Staring,zwak lemig zeer fijn tot matig fijn zand,Sand,83.24,0.02,0.434,0.0216,1349,7.202
B03,Staring,sterk lemig zeer fijn tot matig fijn zand,Sand,19.08,0.02,0.443,0.015,1505,0.139
B04,Staring,zeer sterk lemig zeer fijn tot matig fijn zand,Sand,34.88,0.02,0.462,0.0149,1397,0.295
B05,Staring,grof zand,Sand,63.65,0.01,0.381,0.0428,1808,0.024
B06,Staring,keileem,Sand,104.1,0.01,0.385,0.0209,1242,-1.2
B07,Staring,zeer lichte zavel,Sand,14.58,0,0.401,0.0183,1248,0.952
B08,Staring,matig lichte zavel,Sand,3,0.01,0.433,0.0105,1278,-1.919
B09,Staring,zware zavel,Sand,1.75,0,0.43,0.007,1267,-2.387
B10,Staring,lichte klei,Clay,3.83,0.01,0.448,0.0128,1135,4.581
B11,Staring,matig zware klei,Clay,6.31,0.01,0.591,0.0216,1107,-5.549
B12,Staring,zeer zware klei,Clay,2.25,0.01,0.53,0.0166,1091,-4.494
B13,Staring,zandige leem,Sandy Loam � � �,29.83,0.01,0.416,0.0084,1437,-1.357
B14,Staring,siltige leem,Silt Loam,0.9,0.01,0.417,0.0054,1302,-0.335
